F_RING,YEAR,EXP.INC,GROUP,CS,CS_sc,brood_id,egg_index,HATCHED
DD84402,2022,Control,CONEXP,6,-0.9141479326644292,DD84402_2022_OJ155B_49,5,0
DD84402,2022,Control,CONEXP,6,-0.9141479326644292,DD84402_2022_OJ155B_49,6,0
DD81922,2022,Control,CONEXP,6,-0.9141479326644292,DD81922_2022_OJ173A_53,1,1
DD81922,2022,Control,CONEXP,6,-0.9141479326644292,DD81922_2022_OJ173A_53,2,1
DD81922,2022,Control,CONEXP,6,-0.9141479326644292,DD81922_2022_OJ173A_53,3,1
DD81922,2022,Control,CONEXP,6,-0.9141479326644292,DD81922_2022_OJ173A_53,4,0
DD81922,2022,Control,CONEXP,6,-0.9141479326644292,DD81922_2022_OJ173A_53,5,0
DD81922,2022,Control,CONEXP,6,-0.9141479326644292,DD81922_2022_OJ173A_53,6,0
DD81951,2022,Control,CONEXP,7,0.6811298321813386,DD81951_2022_OJ182B_50,1,1
DD81951,2022,Control,CONEXP,7,0.6811298321813386,DD81951_2022_OJ182B_50,2,1
DD81951,2022,Control,CONEXP,7,0.6811298321813386,DD81951_2022_OJ182B_50,3,1
DD81951,2022,Control,CONEXP,7,0.6811298321813386,DD81951_2022_OJ182B_50,4,0
DD81951,2022,Control,CONEXP,7,0.6811298321813386,DD81951_2022_OJ182B_50,5,0
DD81951,2022,Control,CONEXP,7,0.6811298321813386,DD81951_2022_OJ182B_50,6,0
DD81951,2022,Control,CONEXP,7,0.6811298321813386,DD81951_2022_OJ182B_50,7,0
CV44014,2022,Control,CONEXP,6,-0.9141479326644292,CV44014_2022_OJ185A_52,1,1
CV44014,2022,Control,CONEXP,6,-0.9141479326644292,CV44014_2022_OJ185A_52,2,1
CV44014,2022,Control,CONEXP,6,-0.9141479326644292,CV44014_2022_OJ185A_52,3,1
CV44014,2022,Control,CONEXP,6,-0.9141479326644292,CV44014_2022_OJ185A_52,4,0
CV44014,2022,Control,CONEXP,6,-0.9141479326644292,CV44014_2022_OJ185A_52,5,0
CV44014,2022,Control,CONEXP,6,-0.9141479326644292,CV44014_2022_OJ185A_52,6,0
DC54923,2022,Control,CONEXP,6,-0.9141479326644292,DC54923_2022_OJ192C_51,1,1
DC54923,2022,Control,CONEXP,6,-0.9141479326644292,DC54923_2022_OJ192C_51,2,1
DC54923,2022,Control,CONEXP,6,-0.9141479326644292,DC54923_2022_OJ192C_51,3,1
DC54923,2022,Control,CONEXP,6,-0.9141479326644292,DC54923_2022_OJ192C_51,4,1
DC54923,2022,Control,CONEXP,6,-0.9141479326644292,DC54923_2022_OJ192C_51,5,1
DC54923,2022,Control,CONEXP,6,-0.9141479326644292,DC54923_2022_OJ192C_51,6,0
DC53145,2022,Heated,EXPEXP,6,-0.9141479326644292,DC53145_2022_OJ208B_51,1,1
DC53145,2022,Heated,EXPEXP,6,-0.9141479326644292,DC53145_2022_OJ208B_51,2,1
DC53145,2022,Heated,EXPEXP,6,-0.9141479326644292,DC53145_2022_OJ208B_51,3,1
DC53145,2022,Heated,EXPEXP,6,-0.9141479326644292,DC53145_2022_OJ208B_51,4,1
DC53145,2022,Heated,EXPEXP,6,-0.9141479326644292,DC53145_2022_OJ208B_51,5,1
DC53145,2022,Heated,EXPEXP,6,-0.9141479326644292,DC53145_2022_OJ208B_51,6,0
DC54778,2023,Control,CONCON,7,0.6811298321813386,DC54778_2023_FA11B_44,1,1
