response,response_label,model_name,selected_model,term,estimate,std_error,statistic,p_value
Early.g,Early growth,gaussian_mean,TRUE,EXP.NESTHeated,-0.008066489857060785,0.0389939899309921,-0.20686495204353544,0.8361153286588623
Early.g,Early growth,gaussian_mean,TRUE,nestling_temperature_sc,-0.03132763352904087,0.01868017548723435,-1.6770524211857394,0.09353223150535515
Early.g,Early growth,gaussian_mean,TRUE,SEXM,0.028867432441687966,0.010281118031881505,2.8078106245031655,0.0049879549433884665
Early.g,Early growth,gaussian_mean,TRUE,BS_sc,-0.012713093511070512,0.018412033519667137,-0.6904774259448745,0.4898940011450839
Early.g,Early growth,gaussian_scale,FALSE,(Intercept),1.5624067360739042,0.036503886765279256,42.801106252608434,0
Early.g,Early growth,gaussian_scale,FALSE,EXP.INCHeated,-0.09835218683498745,0.03951174616071493,-2.489188567747365,0.012803503723485592
Early.g,Early growth,gaussian_scale,FALSE,incubation_temperature_sc,-0.0693784019927162,0.028365943047667118,-2.4458344951243225,0.014451732363819768
Early.g,Early growth,gaussian_scale,FALSE,EXP.NESTHeated,-0.00929035096039322,0.03897913433482577,-0.23834164403422345,0.8116161245415706
Early.g,Early growth,gaussian_scale,FALSE,nestling_temperature_sc,-0.020038332383441597,0.03411155644240017,-0.5874352997429997,0.5569113919412699
Early.g,Early growth,gaussian_scale,FALSE,SEXM,0.02753839924138474,0.010051481678381682,2.73973530694616,0.006148868212465966
Early.g,Early growth,gaussian_scale,FALSE,BS_sc,-0.011111780587740363,0.018395415118877604,-0.6040516354717821,0.5458093130531609
Early.g,Early growth,student_mean,FALSE,(Intercept),1.517898207175892,0.03496277285015679,43.41469750357873,0
Early.g,Early growth,student_mean,FALSE,EXP.INCHeated,-0.09451726642140253,0.036142590250198815,-2.6151215440593,0.008919570845670338
Early.g,Early growth,student_mean,FALSE,incubation_temperature_sc,-0.22985251790237882,0.06208988864221582,-3.7019315532496986,2.1396434640542713e-4
Early.g,Early growth,student_mean,FALSE,EXP.NESTHeated,-0.01187577163565488,0.035668147860550725,-0.33295173279209106,0.7391707179632526
Early.g,Early growth,student_mean,FALSE,nestling_temperature_sc,0.03219228930669846,0.02366244683718514,1.3604801535616684,0.17367802910644378
Early.g,Early growth,student_mean,FALSE,SEXM,0.030076340799739476,0.00904128553990075,3.326555794196235,8.792641533623206e-4
Early.g,Early growth,student_mean,FALSE,BS_sc,-0.014835531841029164,0.016733148321503192,-0.8865953708164132,0.3752967870583936
Early.g,Early growth,student_scale,FALSE,(Intercept),1.5680008878281613,0.03395557400378156,46.17801152922746,0
Early.g,Early growth,student_scale,FALSE,EXP.INCHeated,-0.09199551781341397,0.037853606101966926,-2.430297329284931,0.01508644090911031
Early.g,Early growth,student_scale,FALSE,incubation_temperature_sc,-0.06376407885879375,0.01997793492239622,-3.191725226179967,0.0014142580168300172
Early.g,Early growth,student_scale,FALSE,EXP.NESTHeated,-0.010810214822534298,0.03790052564987211,-0.2852259866366992,0.775471012436358
Early.g,Early growth,student_scale,FALSE,nestling_temperature_sc,-0.0224819009719816,0.020178419748054698,-1.114155679814767,0.2652124052016311
Early.g,Early growth,student_scale,FALSE,SEXM,0.029860972018011717,0.008678966763982653,3.440613707835994,5.803965071663906e-4
Early.g,Early growth,student_scale,FALSE,BS_sc,-0.005258917745548834,0.017863231166173325,-0.29439901978693384,0.7684530158361874
Late.g,Late growth,gaussian_mean,TRUE,(Intercept),0.27063519413399456,0.07418975018841452,3.647878493278132,2.644146245033219e-4
Late.g,Late growth,gaussian_mean,TRUE,EXP.INCHeated,0.03592067908048992,0.04745611457020569,0.7569241478324049,0.4490953072906826
Late.g,Late growth,gaussian_mean,TRUE,incubation_temperature_sc,-0.13460262337042045,0.06475015495188069,-2.0788000194046004,0.037635735119635264
Late.g,Late growth,gaussian_mean,TRUE,EXP.NESTHeated,0.025443177052099343,0.0470962147535667,0.5402382587482251,0.5890327311918765
Late.g,Late growth,gaussian_mean,TRUE,nestling_temperature_sc,-0.043958183282846064,0.07324446510266523,-0.6001570660831613,0.5484015638663857
Late.g,Late growth,gaussian_mean,TRUE,SEXM,0.013289715803242265,0.017909355535294456,0.7420543847628609,0.45805438561750206
Late.g,Late growth,gaussian_mean,TRUE,BS_sc,-0.010665306351587764,0.02319458068779793,-0.45981889024613865,0.6456462229797391
Late.g,Late growth,gaussian_scale,FALSE,(Intercept),0.2751485002715052,0.07328283903152995,3.7546102731244155,1.7361139928978757e-4
Late.g,Late growth,gaussian_scale,FALSE,EXP.INCHeated,0.03468000944487518,0.047719763675950794,0.7267431096343165,0.46738333946847327
Late.g,Late growth,gaussian_scale,FALSE,incubation_temperature_sc,-0.1327381947592622,0.06394278930983133,-2.0758899665150117,0.037904128902841984
Late.g,Late growth,gaussian_scale,FALSE,EXP.NESTHeated,0.023894441649376843,0.04740379957131959,0.5040617390474653,0.6142179925072668
Late.g,Late growth,gaussian_scale,FALSE,nestling_temperature_sc,-0.04080354785383089,0.07326304897584687,-0.5569458058902637,0.5775644570822889
Late.g,Late growth,gaussian_scale,FALSE,SEXM,0.006746825951072891,0.01747180744071431,0.38615500851679807,0.6993818723287755
Late.g,Late growth,gaussian_scale,FALSE,BS_sc,-0.008311439824692445,0.023330729295528204,-0.35624432135884826,0.7216576026190626
Late.g,Late growth,student_mean,FALSE,(Intercept),0.25512714386152585,0.0783517059976383,3.256178542803088,0.0011292271822608236
Late.g,Late growth,student_mean,FALSE,EXP.INCHeated,0.06353873915774066,0.04059742535062115,1.565092825689955,0.11756114553400814
Late.g,Late growth,student_mean,FALSE,incubation_temperature_sc,-0.13274359098736285,0.06355838363010798,-2.0885300003834812,0.03675005210737809
Late.g,Late growth,student_mean,FALSE,EXP.NESTHeated,0.02208418622757591,0.03995639957331659,0.5527071123376196,0.5804639823613468
Late.g,Late growth,student_mean,FALSE,nestling_temperature_sc,-0.04445570893027346,0.04495583404303159,-0.988875189985811,0.3227242105574891
Late.g,Late growth,student_mean,FALSE,SEXM,-0.0015951624833448323,0.013850467492923096,-0.11517029906462589,0.9083101399081459
Late.g,Late growth,student_mean,FALSE,BS_sc,-0.01366769169382637,0.021792605746735947,-0.6271710621788994,0.5305471097876748
Late.g,Late growth,student_scale,FALSE,(Intercept),0.27230761331395253,0.08367182876665195,3.254471873363461,0.0011360340887781077
Late.g,Late growth,student_scale,FALSE,EXP.INCHeated,0.06169361399375267,0.042148253784840065,1.463728825129707,0.14326805631301393
Late.g,Late growth,student_scale,FALSE,incubation_temperature_sc,-0.13714254743569418,0.06945126926098934,-1.9746586188414978,0.0483069019669907
Late.g,Late growth,student_scale,FALSE,EXP.NESTHeated,0.021698397589143686,0.04118229874875565,0.5268865082427998,0.5982724035488793
Late.g,Late growth,student_scale,FALSE,nestling_temperature_sc,-0.05066898917793287,0.07116911428423611,-0.7119519427426119,0.4764945354767659
Late.g,Late growth,student_scale,FALSE,SEXM,-0.006600868366615359,0.014775209251667058,-0.4467529531516175,0.6550534436819384
Late.g,Late growth,student_scale,FALSE,BS_sc,-0.003715181846081363,0.02208790507727893,-0.16819982850718798,0.8664260758546553
Growth,Whole-period growth,gaussian_mean,TRUE,(Intercept),1.0653976743178322,0.021865421223418575,48.725229824374786,0
Growth,Whole-period growth,gaussian_mean,TRUE,EXP.INCHeated,-0.026902807903762545,0.02418513961507068,-1.1123693446449399,0.2659793795659666
Growth,Whole-period growth,gaussian_mean,TRUE,incubation_temperature_sc,-0.04861781940774073,0.013148455861502135,-3.6976067699394797,2.1764168737167816e-4
Growth,Whole-period growth,gaussian_mean,TRUE,EXP.NESTHeated,-0.005314128715192812,0.024132490113406464,-0.22020639769124456,0.8257104142805789
Growth,Whole-period growth,gaussian_mean,TRUE,nestling_temperature_sc,-0.011467862421615642,0.012612565753276789,-0.9092410415094369,0.36322290455286027
Growth,Whole-period growth,gaussian_mean,TRUE,SEXM,0.018657491159056176,0.007439742779703262,2.5078140080268123,0.012148059138070851
Growth,Whole-period growth,gaussian_mean,TRUE,BS_sc,-0.00586338789848905,0.011449773776112622,-0.5120963971115037,0.608583545965759
Growth,Whole-period growth,gaussian_scale,FALSE,(Intercept),1.065326219622176,0.02200234665426953,48.418754433879926,0
Growth,Whole-period growth,gaussian_scale,FALSE,EXP.INCHeated,-0.02682974584722992,0.024195477057300976,-1.10887443069175,0.2674843556888873
Growth,Whole-period growth,gaussian_scale,FALSE,incubation_temperature_sc,-0.04842684899605452,0.013143023990077114,-3.6846047783688465,2.2905778546242553e-4
Growth,Whole-period growth,gaussian_scale,FALSE,EXP.NESTHeated,-0.0052321115105539795,0.024146245414160893,-0.21668426791875214,0.8284544091196642
Growth,Whole-period growth,gaussian_scale,FALSE,nestling_temperature_sc,-0.011689378433717765,0.012624202754637702,-0.9259498331032021,0.3544720519190941
Growth,Whole-period growth,gaussian_scale,FALSE,SEXM,0.018503676921931878,0.007390809532251894,2.5036062478928502,0.012293476311418909
Growth,Whole-period growth,gaussian_scale,FALSE,BS_sc,-0.005919210136059156,0.011449836043195336,-0.5169689866063154,0.605177808517969
Growth,Whole-period growth,student_mean,FALSE,(Intercept),1.0684014621150708,0.021055945419084395,50.74108242827738,0
Growth,Whole-period growth,student_mean,FALSE,EXP.INCHeated,-0.027884528216189853,0.02336070990430743,-1.193650720821985,0.23261462458268364
Growth,Whole-period growth,student_mean,FALSE,incubation_temperature_sc,-0.04875623542279392,0.012743234868884868,-3.8260485602319023,1.302166135778895e-4
Growth,Whole-period growth,student_mean,FALSE,EXP.NESTHeated,-0.0036114423422522373,0.023329632535394905,-0.15480065263664497,0.8769784766836305
Growth,Whole-period growth,student_mean,FALSE,nestling_temperature_sc,-0.013774848092303744,0.012271127610962346,-1.122541344937042,0.26163233861686724
Growth,Whole-period growth,student_mean,FALSE,SEXM,0.017274704143412953,0.007063966255616195,2.4454681008249053,0.014466424517879975
Growth,Whole-period growth,student_mean,FALSE,BS_sc,-0.008935143505124733,0.011558927821668678,-0.7730079850809928,0.43951765493861183
Growth,Whole-period growth,student_scale,FALSE,(Intercept),1.0689256118142347,0.021231254912277352,50.346793735499325,0
Growth,Whole-period growth,student_scale,FALSE,EXP.INCHeated,-0.02755633721043814,0.023538594090874373,-1.1706874719897309,0.24172442274841446
Growth,Whole-period growth,student_scale,FALSE,incubation_temperature_sc,-0.04845504031403388,0.01305967634388608,-3.7102788030974616,2.0703112033081608e-4
Growth,Whole-period growth,student_scale,FALSE,EXP.NESTHeated,-0.004203903843111849,0.023575575667594707,-0.17831606330148847,0.8584747642872453
Growth,Whole-period growth,student_scale,FALSE,nestling_temperature_sc,-0.01336311411798972,0.012569718243817063,-1.0631196227936868,0.2877277067088632
Growth,Whole-period growth,student_scale,FALSE,SEXM,0.016125362576172808,0.007073417128624306,2.2797132252977983,0.022624702407991356
Growth,Whole-period growth,student_scale,FALSE,BS_sc,-0.008251245699848794,0.012014498690672464,-0.6867740313005904,0.49222513672051577
D12_SMI,Day-12 scaled mass index,gaussian_mean,TRUE,(Intercept),13.78305948671575,0.21330157207092504,64.61771168818548,0
D12_SMI,Day-12 scaled mass index,gaussian_mean,TRUE,EXP.INCHeated,0.0789469491139276,0.21300791020980894,0.37062918948017604,0.7109137380279729
D12_SMI,Day-12 scaled mass index,gaussian_mean,TRUE,incubation_temperature_sc,0.019625218856597567,0.15033173595739882,0.13054608018468558,0.8961343993280945
D12_SMI,Day-12 scaled mass index,gaussian_mean,TRUE,EXP.NESTHeated,0.12361389742132421,0.21310950994060554,0.5800487151219854,0.5618817667370548
D12_SMI,Day-12 scaled mass index,gaussian_mean,TRUE,nestling_temperature_sc,0.05607686205438046,0.25328386306653283,0.22139926869186347,0.8247815618009604
D12_SMI,Day-12 scaled mass index,gaussian_mean,TRUE,SEXM,0.2708529213295274,0.0874573003518385,3.0969732685538305,0.0019550750305779925
D12_SMI,Day-12 scaled mass index,gaussian_mean,TRUE,BS_sc,-0.17915649929365238,0.10436209688322488,-1.7166816750924243,0.0860373501479989
D12_SMI,Day-12 scaled mass index,gaussian_scale,FALSE,(Intercept),13.786717919892695,0.21287771874652006,64.76355534563463,0
D12_SMI,Day-12 scaled mass index,gaussian_scale,FALSE,EXP.INCHeated,0.08311450631763202,0.21332132086653782,0.38962118732441053,0.6968166826805415
D12_SMI,Day-12 scaled mass index,gaussian_scale,FALSE,incubation_temperature_sc,0.019748876842061256,0.14859734882813463,0.13290194608318684,0.8942709278070288
D12_SMI,Day-12 scaled mass index,gaussian_scale,FALSE,EXP.NESTHeated,0.12247713506417089,0.21345789494375264,0.5737765524973639,0.5661190175747208
D12_SMI,Day-12 scaled mass index,gaussian_scale,FALSE,nestling_temperature_sc,0.06074793747819693,0.24912771673501888,0.24384254901196162,0.8073527654000922
